id,inci_name,score,description,Restriction,Function
1,DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
2,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
3,(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
4,(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
5,ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,10,Safe ingredient (No EU restrictions),,PLASTICISER
6,ASTROCARYUM VULGARE SEED BUTTER,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7,BARLEY SH-POLYPEPTIDE-17,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
8,CITRULLUS LANATUS SEED POWDER,10,Safe ingredient (No EU restrictions),,"ABRASIVE, EXFOLIATING"
9,DAUCUS CAROTA SATIVA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
10,GOSSYPIUM HIRSUTUM SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
11,HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
12,HYDROLYZED BEE LARVA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
13,HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
14,ICTASOL,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTIMICROBIAL"
15,ISOOCTANOYL TETRAPEPTIDE-25,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
16,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,
17,METHOXYETHANOL,-10,PROHIBITED in EU (Annex II),"II/665

CMR1b (Reprotoxic 1B)","SOLVENT, VISCOSITY CONTROLLING"
18,MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
19,NONAPEPTIDE-11,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, SKIN PROTECTING"
20,PENTACLETHRA MACROPHYLLA SEED OIL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
21,TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
22,(20S)-PROTOPANAXADIOL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING"
23,(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
24,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING"
25,(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
26,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
27,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
28,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,10,Safe ingredient (No EU restrictions),,
29,(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT, SKIN CONDITIONING - MISCELLANEOUS"
30,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
31,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING"
32,(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
33,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
34,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
35,(ARCTIUM LAPPA/RAPHANUS SATIVUS (RADISH)/MALVA VERTICILLATA) SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
36,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
37,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM /MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
38,(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
