name,score,description
"Sodium tris(1,2-naphthoquinone 1-oximato-O,O')ferrate(1-)",0,Colorant ADMIS in UE (Anexa IV)
"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide,0,Colorant ADMIS in UE (Anexa IV)
2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide,0,Colorant ADMIS in UE (Anexa IV)
2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide,0,Colorant ADMIS in UE (Anexa IV)
4-(Phenylazo)resorcinol,0,Colorant ADMIS in UE (Anexa IV)
4-[(4-Ethoxyphenyl)azo]naphthol,0,Colorant ADMIS in UE (Anexa IV)
"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol and its insoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,0,Colorant ADMIS in UE (Anexa IV)
"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide",0,Colorant ADMIS in UE (Anexa IV)
N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide,0,Colorant ADMIS in UE (Anexa IV)
"4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide",0,Colorant ADMIS in UE (Anexa IV)
"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide",0,Colorant ADMIS in UE (Anexa IV)
"2,4-Dihydro-5-methyl-2-phenyl-4-(phenylazo)-3H-pyrazol-3-one",0,Colorant ADMIS in UE (Anexa IV)
Disodium 2-amino-5-[(4-sulphonatophenyl)azo]benzenesulphonate,0,Colorant ADMIS in UE (Anexa IV)
"Sodium 4-(2,4-dihydroxyphenylazo)benzenesulphonate",0,Colorant ADMIS in UE (Anexa IV)
"Disodium 3-[(2,4-dimethyl-5- sulphonatophenyl)azo]-4- hydroxynaphthalene-1- sulphonate",0,Colorant ADMIS in UE (Anexa IV)
Disodium 4-hydroxy-3-[(4-sulphonatonaphthyl)azo]naphthalenesulphonate,0,Colorant ADMIS in UE (Anexa IV)
"Disodium 6-[(2,4-dimethyl-6-sulphonatophenyl)azo]-5-hydroxynaphthalene-1-sulphonate",0,Colorant ADMIS in UE (Anexa IV)
"Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate and its unsoluble barium, strontium and zirconium lakes, salts and pigments",0,Colorant ADMIS in UE (Anexa IV)
