name,score,description
Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid,0,Conservant ADMIS in UE (Anexa V)
Benzoic acid and its sodium salt,0,Conservant ADMIS in UE (Anexa V)
Propionic acid and its salts,0,Conservant ADMIS in UE (Anexa V)
Salicylic acid and its salts,0,Conservant ADMIS in UE (Anexa V)
"Hexa-2,4-dienoic acid and its salts",0,Conservant ADMIS in UE (Anexa V)
Moved or deleted,0,Conservant ADMIS in UE (Anexa V)
"Biphenyl-2-ol; 2-phenylphenol; 2-hydroxybiphenyl, Sodium 2-biphenylate",0,Conservant ADMIS in UE (Anexa V)
Inorganic sulphites and hydrogensulphites (5),0,Conservant ADMIS in UE (Anexa V)
Moved or deleted,0,Conservant ADMIS in UE (Anexa V)
Chlorobutanol,0,Conservant ADMIS in UE (Anexa V)
Butyl 4-hydroxy­benzoate and its salts Propyl 4-hydroxy­benzoate and its salts,0,Conservant ADMIS in UE (Anexa V)
"4-Hydroxybenzoic acid and its Methyl- and Ethyl-esters, and their salts",0,Conservant ADMIS in UE (Anexa V)
"3-Acetyl-6-methylpyran-2,4(3H)-dione and its salts",0,Conservant ADMIS in UE (Anexa V)
Formic acid and its sodium salt,0,Conservant ADMIS in UE (Anexa V)
"3,3'-Dibromo-4,4'-hexamethylenedioxydibenzamidine and its salts (including isethionate)",0,Conservant ADMIS in UE (Anexa V)
Thiomersal,0,Conservant ADMIS in UE (Anexa V)
Phenylmercuric salts (including borate),0,Conservant ADMIS in UE (Anexa V)
Undec-10-enoic acid and its salts,0,Conservant ADMIS in UE (Anexa V)
"5-Pyrimidinamine, 1,3-bis(2-ethylhexyl)hexahydro-5-methyl-",0,Conservant ADMIS in UE (Anexa V)
"5-Bromo-5-nitro-1,3-dioxane",0,Conservant ADMIS in UE (Anexa V)
Bronopol,0,Conservant ADMIS in UE (Anexa V)
"2,4-Dichlorobenzyl alcohol",0,Conservant ADMIS in UE (Anexa V)
"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea",0,Conservant ADMIS in UE (Anexa V)
Chlorocresol,0,Conservant ADMIS in UE (Anexa V)
"5-Chloro-2-(2,4-dichlorophenoxy)phenol",0,Conservant ADMIS in UE (Anexa V)
Chloroxylenol,0,Conservant ADMIS in UE (Anexa V)
"N,N''-Methylenebis[N'-[3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]urea]",0,Conservant ADMIS in UE (Anexa V)
Polyhexamethylene biguanide hydrochloride,0,Conservant ADMIS in UE (Anexa V)
2-Phenoxyethanol,0,Conservant ADMIS in UE (Anexa V)
Methenamine,0,Conservant ADMIS in UE (Anexa V)
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",0,Conservant ADMIS in UE (Anexa V)
"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",0,Conservant ADMIS in UE (Anexa V)
Benzyl alcohol (7),0,Conservant ADMIS in UE (Anexa V)
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2 pyridon and its monoethanolamine salt",0,Conservant ADMIS in UE (Anexa V)
Moved or deleted,0,Conservant ADMIS in UE (Anexa V)
"2,2'-Methylenebis(6-bromo-4-chlorophenol)",0,Conservant ADMIS in UE (Anexa V)
4-Isopropyl-m-cresol,0,Conservant ADMIS in UE (Anexa V)
Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-Methylisothiazol-3(2H)-one with magnesium chloride and magnesium nitrate,0,Conservant ADMIS in UE (Anexa V)
"N,N'-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride",0,Conservant ADMIS in UE (Anexa V)
1-Phenoxypropan-2-ol (8),0,Conservant ADMIS in UE (Anexa V)
Alkyl (C12-C22) trimethyl ammonium bromide and chloride,0,Conservant ADMIS in UE (Anexa V)
"4,4-Dimethyl-1,3-oxazolidine",0,Conservant ADMIS in UE (Anexa V)
"N-(Hydroxymethyl)-N-(dihydroxymethyl-1,3-dioxo-2,5-imidazolidinyl-4)-N'-(hydroxymethyl)urea",0,Conservant ADMIS in UE (Anexa V)
"Benzenecarboximidamide, 4,4'-(1,6-hexanediylbis(oxy))bis-, and its salts (including isothionate and p-hydroxybenzoate)",0,Conservant ADMIS in UE (Anexa V)
"Glutaraldehyde (Pentane-1,5-dial)",0,Conservant ADMIS in UE (Anexa V)
"5-Ethyl-3,7-dioxa-1-azabicyclo[3.3.0] octane",0,Conservant ADMIS in UE (Anexa V)
"3-(p-Chlorophenoxy)-propane-1,2-diol",0,Conservant ADMIS in UE (Anexa V)
Sodium hydroxymethylamino acetate,0,Conservant ADMIS in UE (Anexa V)
Silver chloride deposited on titanium dioxide,0,Conservant ADMIS in UE (Anexa V)
"Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4-(1,1,3,3,-tetramethylbutyl)phenoxy]ethoxy]ethyl]-, chloride",0,Conservant ADMIS in UE (Anexa V)
"Benzalkonium chloride, bromide and saccharinate (10)",0,Conservant ADMIS in UE (Anexa V)
"Methanol, (phenylmethoxy)-",0,Conservant ADMIS in UE (Anexa V)
3-Iodo-2-propynylbutylcarbamate,0,Conservant ADMIS in UE (Anexa V)
2-Methyl-2H-isothiazol-3-one,0,Conservant ADMIS in UE (Anexa V)
Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride,0,Conservant ADMIS in UE (Anexa V)
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-silver(1+) salt, monohydrate",0,Conservant ADMIS in UE (Anexa V)
4-(3-ethoxy-4-hy­droxyphenyl)bu­tan-2-one,0,Conservant ADMIS in UE (Anexa V)
