name,score,description
N-(5-Chlorobenzoxazol-2-yl)acetamide,-10,Substanta INTERZISA in UE (Anexa II)
(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Deanol aceglumate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Spironolactone (INN),-10,Substanta INTERZISA in UE (Anexa II)
"[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Methotrexate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Aminocaproic acid (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Cinchophen (INN), its salts, derivatives and salts of these derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Thyropropic acid (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Trichloroacetic acid,-10,Substanta INTERZISA in UE (Anexa II)
"Aconitum napellus L. (leaves, roots and galenical preparations)",-10,Substanta INTERZISA in UE (Anexa II)
Aconitine (principal alkaloid of Aconitum napellus L.) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Adonis vernalis L. and its preparations,-10,Substanta INTERZISA in UE (Anexa II)
Epinephrine (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Rauwolfia serpentia L., alkaloids and their salts",-10,Substanta INTERZISA in UE (Anexa II)
"Alkyne alcohols, their esters, ethers and salts",-10,Substanta INTERZISA in UE (Anexa II)
Isoprenaline (INN),-10,Substanta INTERZISA in UE (Anexa II)
Allyl isothiocyanate,-10,Substanta INTERZISA in UE (Anexa II)
Alloclamide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Nalorphine (INN), its salts and ethers",-10,Substanta INTERZISA in UE (Anexa II)
Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in Resolution AP (69) 2 of the Council of Europe,-10,Substanta INTERZISA in UE (Anexa II)
"Aniline, its salts and its halogenated and sulphonated derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Betoxycaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Zoxazolamine (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Procainamide (INN), its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Benzidine,-10,Substanta INTERZISA in UE (Anexa II)
"Tuaminoheptane (INN), its isomers and salts",-10,Substanta INTERZISA in UE (Anexa II)
Octodrine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"2-Amino-1,2-bis(4-methoxyphenyl)ethanol and its salts",-10,Substanta INTERZISA in UE (Anexa II)
"1,3-Dimethylpentylamine and its salts",-10,Substanta INTERZISA in UE (Anexa II)
4-Aminosalicylic acid and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Toluidines, their isomers, salts and halogenated and sulphonated derivatives",-10,Substanta INTERZISA in UE (Anexa II)
"Xylidines, their isomers, salts and halogenated and sulphonated derivatives",-10,Substanta INTERZISA in UE (Anexa II)
"Imperatorin (9-(3-methylbut-2-enyloxy)furo[3,2-g]chromen-7-one)",-10,Substanta INTERZISA in UE (Anexa II)
Ammi majus L. and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
"2,3-Dichloro-2-methylbutane",-10,Substanta INTERZISA in UE (Anexa II)
Substances with androgenic effect,-10,Substanta INTERZISA in UE (Anexa II)
Anthracene oil,-10,Substanta INTERZISA in UE (Anexa II)
"Distillates (coal tar), pitch, pyrene fraction",-10,Substanta INTERZISA in UE (Anexa II)
"Distillates (coal tar), pitch",-10,Substanta INTERZISA in UE (Anexa II)
Antibiotics,-10,Substanta INTERZISA in UE (Anexa II)
Antimony and its compound,-10,Substanta INTERZISA in UE (Anexa II)
Apocynum cannabium L. and its preparations,-10,Substanta INTERZISA in UE (Anexa II)
"Apomorphine ((R)-5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol)) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Arsenic and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
Atropa belladonna L. and its preparations,-10,Substanta INTERZISA in UE (Anexa II)
"Atropine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
"Barium salts, with the exception of barium sulphide under the conditions laid down in Annex III and of barium sulfate, lakes, salts and pigments prepared from the colouring agents when listed in Annex IV",-10,Substanta INTERZISA in UE (Anexa II)
Benzene,-10,Substanta INTERZISA in UE (Anexa II)
Benzimidazol-2(3H)-one,-10,Substanta INTERZISA in UE (Anexa II)
Benzazepines and benzodiazepines,-10,Substanta INTERZISA in UE (Anexa II)
1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Isocarboxazid (INN),-10,Substanta INTERZISA in UE (Anexa II)
Bendroflumethiazide (INN) and its derivatives,-10,Substanta INTERZISA in UE (Anexa II)
Beryllium and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
"Bromine, elemental",-10,Substanta INTERZISA in UE (Anexa II)
Bretylium tosilate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Carbromal (INN),-10,Substanta INTERZISA in UE (Anexa II)
Bromisoval (INN),-10,Substanta INTERZISA in UE (Anexa II)
Brompheniramine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Benzilonium bromide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Tetrylammonium bromide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Brucine,-10,Substanta INTERZISA in UE (Anexa II)
Tetracaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Mofebutazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Tolbutamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Carbutamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Phenylbutazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Cadmium and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
"Cantharides, Cantharis vesicatoria",-10,Substanta INTERZISA in UE (Anexa II)
Cantharidine,-10,Substanta INTERZISA in UE (Anexa II)
Phenprobamate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Nitroderivatives of carbazole,-10,Substanta INTERZISA in UE (Anexa II)
Carbon disulphide,-10,Substanta INTERZISA in UE (Anexa II)
Catalase,-10,Substanta INTERZISA in UE (Anexa II)
Cephaeline and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Chenopodium ambrosioides L. (essential oil),-10,Substanta INTERZISA in UE (Anexa II)
"2,2,2-Trichloroethane-1,1-diol",-10,Substanta INTERZISA in UE (Anexa II)
Chlorine,-10,Substanta INTERZISA in UE (Anexa II)
Chlorpropamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Moved or deleted,-10,Substanta INTERZISA in UE (Anexa II)
"4-Phenylazophenylene-1,3-diamine citrate hydrochloride (Chrysoidine citrate hydrochloride)",-10,Substanta INTERZISA in UE (Anexa II)
Chlorzoxazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
2-Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO),-10,Substanta INTERZISA in UE (Anexa II)
Chlorprothixene (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Clofenamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
"N,N-bis(2-Chloroethyl)methylamine N-oxide and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Chlormethine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Cyclophosphamide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Mannomustine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Butanilicaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Chlormezanone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Triparanol (INN),-10,Substanta INTERZISA in UE (Anexa II)
"2-[2-(4-Chlorophenyl)-2-phenylacetyl]indan 1,3-dione (chlorophacinone - ISO)",-10,Substanta INTERZISA in UE (Anexa II)
Chlorphenoxamine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Phenaglycodol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Chloroethane,-10,Substanta INTERZISA in UE (Anexa II)
Chromium; chromic acid and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Claviceps purpurea Tul., its alkaloids and galenical preparations",-10,Substanta INTERZISA in UE (Anexa II)
"Conium maculatum L. (fruit, powder, galenical preparations)",-10,Substanta INTERZISA in UE (Anexa II)
Glycyclamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Cobalt benzenesulphonate,-10,Substanta INTERZISA in UE (Anexa II)
"Colchicine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Colchicoside and its derivatives,-10,Substanta INTERZISA in UE (Anexa II)
Colchicum autumnale L. and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
Convallatoxin,-10,Substanta INTERZISA in UE (Anexa II)
Anamirta cocculus L. (fruit),-10,Substanta INTERZISA in UE (Anexa II)
Croton tiglium L. (oil),-10,Substanta INTERZISA in UE (Anexa II)
1-Butyl-3-(N-crotonoylsulphanilyl)urea,-10,Substanta INTERZISA in UE (Anexa II)
Curare and curarine,-10,Substanta INTERZISA in UE (Anexa II)
Synthetic curarizants,-10,Substanta INTERZISA in UE (Anexa II)
Hydrogen cyanide and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"Feclemine (INN); 2-(alpha-Cyclohexylbenzyl)-N,N,N',N'-tetraethyl-1,3-propanediamine",-10,Substanta INTERZISA in UE (Anexa II)
Cyclomenol (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Sodium hexacyclonate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Hexapropymate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Moved or deleted,-10,Substanta INTERZISA in UE (Anexa II)
"O,O'-Diacetyl-N-allyl-N-normorphine; Diacetylnalorphine",-10,Substanta INTERZISA in UE (Anexa II)
Pipazetate (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"5-(alpha,beta-Dibromophenethyl)-5-methylhydantoin",-10,Substanta INTERZISA in UE (Anexa II)
"N,N'-Pentamethylenebis(trimethylammonium) salts, e.g. pentamethonium bromide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
"N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium) salts, e.g. azamethonium bromide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Cyclarbamate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Clofenotane (INN); DDT (ISO),-10,Substanta INTERZISA in UE (Anexa II)
"N,N'-Hexamethylenebis (trimethylammonium) salts, e.g. hexamethonium bromide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
"Dichloroethanes (ethylene chlorides) e.g. 1,2-Dichloroethane",-10,Substanta INTERZISA in UE (Anexa II)
"Dichloroethylenes (acetylene chlorides) e.g. Vinylidene chloride (1,1-Dichloroethylene)",-10,Substanta INTERZISA in UE (Anexa II)
Lysergide (INN) (LSD) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Cinchocaine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
3-Diethylaminopropyl cinnamate,-10,Substanta INTERZISA in UE (Anexa II)
"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",-10,Substanta INTERZISA in UE (Anexa II)
"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e.g. ambenonium chloride (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Methyprylon (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Digitaline and all heterosides of Digitalis purpurea L.,-10,Substanta INTERZISA in UE (Anexa II)
7-[2-Hydroxy-3-(N-(2-hydroxyethyl)-N-methylamino)propyl]theophylline; (Xanthinol),-10,Substanta INTERZISA in UE (Anexa II)
Dioxethedrin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Piprocurarium iodide (INN),-10,Substanta INTERZISA in UE (Anexa II)
Propyphenazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Tetrabenazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Captodiame (INN),-10,Substanta INTERZISA in UE (Anexa II)
Mefeclorazine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Dimethylamine,-10,Substanta INTERZISA in UE (Anexa II)
"1,1-Bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Methapyrilene (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Metamfepramone (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Amitriptyline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Metformin (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Isosorbide dinitrate (INN),-10,Substanta INTERZISA in UE (Anexa II)
Malononitrile,-10,Substanta INTERZISA in UE (Anexa II)
Succinonitrile,-10,Substanta INTERZISA in UE (Anexa II)
Dinitrophenol isomers,-10,Substanta INTERZISA in UE (Anexa II)
Inproquone (INN),-10,Substanta INTERZISA in UE (Anexa II)
Dimevamide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Diphenylpyraline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Sulfinpyrazone (INN),-10,Substanta INTERZISA in UE (Anexa II)
"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-diisopropylmethylammonium salts, e.g. isopropamide iodide (INN)",-10,Substanta INTERZISA in UE (Anexa II)
Benactyzine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Benzatropine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Cyclizine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"5,5-Diphenyl-4-imidazolidone (Doxenitoin (INN))",-10,Substanta INTERZISA in UE (Anexa II)
Probenecid (INN),-10,Substanta INTERZISA in UE (Anexa II)
Disulfiram (INN); thiram (ISO) (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Emetine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Ephedrine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Oxanamide (INN) and its derivatives,-10,Substanta INTERZISA in UE (Anexa II)
Eserine or physostigmine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
