name,score,description
Thioglycolic acid and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Thioglycolic acid esters,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Oxalic acid, its esters and alkaline salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Ammonia,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Tosylchloramide sodium (INN),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Chlorates of alkali metals,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
p-Phenylenediamine and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
p- Phenylene-diamine and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Ethanol, 2,2′-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"N-substituted derivatives of p- Phenylenediamine and their salts; N- substituted derivatives of o-Phenylenediamine (1 ), with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Toluene-2,5-diamine 
Toluene-2,5-diamine sulphate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Methylphenylenediamines, their N-substituted derivatives and their salts (1) with the exception of the substance under reference number 9a in this annex and substances under reference numbers 364, 1310 and 1313 in Annex II",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Methylphenylenediamines, their N- substituted derivatives and their salts (1), with the exception of the substance listed under reference numbers 9 a and 9 b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Diaminophenols (1),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Dichlorophen,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Hydrogen peroxide and other compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide,  with the exception of  the following substances in Annex II: No 1397, 1398, 1399",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Hydroquinone,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Potassium or sodium hydroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Lithium hydroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Calcium hydroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-Naphthol and its salts,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1- Naphthalenol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Sodium nitrite,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Nitromethane,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Moved or deleted,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
